Date,AAL,AGO,ALLY,AMD,AMGN,AMKR,APA,ARW,BA,C,CAH,F,GS,JPM,MAR,MS,WF
2014-02-01,34.81543731689453,21.15766716003418,22.623170852661133,3.7100000381469727,98.9444351196289,5.835503578186035,67.63594818115234,56.630001068115234,110.18424987792969,40.8366813659668,55.546756744384766,10.707306861877441,144.5048828125,44.94881057739258,49.782310485839844,25.297218322753906,41.51370620727539
2014-03-01,34.504337310791016,21.92428970336914,24.159313201904297,4.010000228881836,98.90341186523438,6.762087345123291,70.75804901123047,59.36000061035156,107.85763549804688,39.97174072265625,54.34309768676758,10.853410720825195,142.72784423828125,48.026084899902344,51.58832931518555,25.601106643676758,41.29916763305664
2014-04-01,33.061927795410156,20.703386306762695,20.90967559814453,4.090000152587891,89.60970306396484,7.83652925491333,74.0421371459961,56.75,110.89165496826172,40.23206329345703,54.21571731567383,11.236062049865723,139.21737670898438,44.284305572509766,53.347232818603516,25.403989791870117,38.98688888549805
2014-05-01,37.86050796508789,21.144989013671875,20.398836135864258,4.0,93.00963592529297,9.965699195861816,79.75541687011719,57.70000076293945,116.24627685546875,39.94655990600586,55.089271545410156,11.527209281921387,139.20867919921875,44.23704147338867,56.74530792236328,25.429651260375977,34.83000183105469
2014-06-01,40.50017547607422,21.311176300048828,20.701881408691406,4.190000057220459,95.43916320800781,11.020427703857422,86.08658599853516,60.40999984741211,109.96673583984375,39.56012725830078,53.4747200012207,12.088143348693848,146.35263061523438,45.86897277832031,59.23028564453125,26.6409854888916,35.16999816894531
2014-07-01,36.62550354003906,19.414907455444336,19.87934112548828,3.9100000858306885,102.71179962158203,8.72368335723877,87.8319320678711,57.95000076293945,104.13263702392578,41.08037185668945,56.16310501098633,11.933887481689453,151.09878540039062,45.908748626708984,59.7939338684082,26.649221420288086,40.2599983215332
2014-08-01,36.746700286865234,21.00672721862793,21.299293518066406,4.170000076293945,112.37909698486328,10.251561164855957,87.34257507324219,62.25,109.5950927734375,43.39043426513672,57.77000045776367,12.29481315612793,156.55291748046875,47.656593322753906,64.12764739990234,28.358322143554688,40.52000045776367
2014-09-01,33.533241271972656,19.365617752075195,20.03519630432129,3.4100000858306885,113.79508209228516,8.289963722229004,80.5150375366211,55.349998474121094,110.76315307617188,43.53324890136719,58.72630310058594,10.444592475891113,160.94883728027344,48.28987121582031,64.78115844726562,28.57322120666504,37.060001373291016
2014-10-01,39.0811767578125,20.16960906982422,19.65423011779785,2.799999952316284,131.39170837402344,6.683229446411133,66.21670532226562,56.86000061035156,108.6153793334961,44.96979522705078,61.796905517578125,9.950255393981934,166.57772827148438,48.48226547241211,70.2027359008789,28.88730239868164,34.09000015258789
2014-11-01,45.982337951660156,22.33687400817871,20.589319229125977,2.7899999618530273,133.92750549316406,6.594513416290283,55.16115951538086,58.439998626708984,116.83259582519531,45.348045349121094,64.71824645996094,11.207345962524414,165.19241333007812,48.5506591796875,73.02012634277344,29.16227912902832,28.68000030517578
2014-12-01,50.814613342285156,22.813274383544922,20.450788497924805,2.6700000762939453,129.54345703125,6.998661518096924,53.938995361328125,57.88999938964844,113.68345642089844,45.46567916870117,63.568603515625,11.043476104736328,170.48712158203125,50.503665924072266,72.50366973876953,32.16305923461914,27.25
2015-01-01,46.50347137451172,21.435176849365234,16.199583053588867,2.569999933242798,123.82627868652344,6.259366035461426,53.852928161621094,55.040000915527344,127.14390563964844,39.44951629638672,65.78368377685547,10.48061466217041,151.6467742919922,43.88605499267578,69.22369384765625,28.02661895751953,23.649999618530273
2015-02-01,45.38542175292969,23.278491973876953,17.991846084594727,3.109999895095825,128.26666259765625,9.5911226272583,56.89584732055664,61.959999084472656,131.9368438720703,44.05501174926758,69.57939147949219,11.76075553894043,166.9336395263672,49.77267074584961,77.21459197998047,29.753786087036133,25.950000762939453
2015-03-01,50.11055374145508,23.27072525024414,18.165010452270508,2.680000066757202,130.68714904785156,8.713827133178711,52.13437271118164,61.150001525878906,132.0752410888672,43.29863739013672,71.38228607177734,11.616804122924805,165.8518829345703,49.20411682128906,74.81342315673828,29.670642852783203,25.59000015258789
2015-04-01,45.8476448059082,22.918004989624023,18.952909469604492,2.259999990463257,129.10105895996094,6.929660797119141,59.10809326171875,59.709999084472656,126.14378356933594,44.81139373779297,66.94796752929688,11.372090339660645,173.3075408935547,51.38084411621094,74.56193542480469,31.01741600036621,29.670000076293945
2015-05-01,40.30952072143555,25.210681915283203,19.628257751464844,2.2799999713897705,127.7520980834961,6.663514137268066,51.89527893066406,60.790000915527344,123.66214752197266,45.45011901855469,69.98818969726562,11.021588325500488,181.927978515625,53.78276443481445,72.64315795898438,31.88640594482422,28.079999923706055
2015-06-01,37.9976921081543,21.243009567260742,19.420459747314453,2.4000000953674316,126.13069152832031,5.894647121429443,49.978694915771484,55.79999923706055,122.8603744506836,46.46900177001953,66.4002685546875,10.905340194702148,184.7965545654297,55.40162658691406,69.5047378540039,32.37889862060547,26.350000381469727
2015-07-01,38.149906158447266,21.659191131591797,19.714841842651367,1.9299999475479126,145.08477783203125,4.347055435180664,39.77134704589844,58.150001525878906,127.68730163574219,49.1777229309082,67.76082611083984,10.77456283569336,181.50411987304688,56.03120040893555,67.84164428710938,32.420631408691406,24.3700008392334
2015-08-01,37.084381103515625,22.36758804321289,18.92693328857422,1.809999942779541,124.70111846923828,5.322925567626953,39.42831039428711,55.91999816894531,115.73956298828125,45.02665328979492,65.59992218017578,10.180055618286133,166.92674255371094,52.751705169677734,66.01970672607422,28.866525650024414,23.100000381469727
2015-09-01,37.02786636352539,22.237445831298828,17.645509719848633,1.7200000286102295,114.17111206054688,4.425913333892822,34.12937545776367,55.279998779296875,116.71868896484375,41.76837158203125,61.254241943359375,9.95986557006836,154.322265625,50.175846099853516,63.94039535522461,26.394636154174805,23.600000381469727
2015-10-01,44.07489013671875,24.407825469970703,17.247234344482422,2.119999885559082,130.56382751464844,6.131220817565918,41.07551574707031,54.9900016784668,131.9781494140625,44.76565170288086,65.87470245361328,10.869977951049805,166.52523803710938,52.87514877319336,71.98451232910156,27.626388549804688,25.940000534057617
2015-11-01,39.345088958740234,23.518327713012695,17.28186798095703,2.359999895095825,132.9740447998047,6.702943801879883,43.09986114501953,56.560001373291016,129.64283752441406,45.58189010620117,69.6011734008789,10.624709129333496,168.76333618164062,55.27090072631836,66.48114776611328,28.875213623046875,24.68000030517578
2015-12-01,40.47158432006836,23.615890502929688,16.13897705078125,2.869999885559082,134.6675567626953,5.99321985244751,38.97217559814453,54.18000030517578,129.67312622070312,43.609954833984375,71.54055786132812,10.446764945983887,160.6165771484375,54.73210906982422,63.066715240478516,26.77902603149414,22.600000381469727
2016-01-01,37.26062774658203,21.248043060302734,13.723325729370117,2.200000047683716,126.70345306396484,6.052363395690918,37.2807731628418,51.599998474121094,107.73660278320312,35.882354736328125,65.48851776123047,8.85268783569336,143.97837829589844,49.31941604614258,57.648109436035156,21.78689956665039,22.010000228881836
2016-02-01,39.18146514892578,22.16836929321289,15.221202850341797,2.140000104904175,118.03422546386719,4.987778663635254,33.79245376586914,57.15999984741211,105.98777770996094,32.779476165771484,65.75407409667969,9.588132858276367,133.2574462890625,46.9799919128418,64.11093139648438,20.91661262512207,21.25
2016-03-01,39.29795455932617,22.606204986572266,16.208242416381836,2.8499999046325684,125.24549102783203,5.805931568145752,43.08802032470703,64.41000366210938,114.89752960205078,35.226341247558594,65.95527648925781,10.346904754638672,140.5045928955078,49.41661071777344,67.21293640136719,21.179126739501953,24.940000534057617
2016-04-01,33.241790771484375,23.233823776245117,15.420341491699219,3.549999952316284,132.23745727539062,5.628500938415527,48.022708892822266,62.099998474121094,122.01187896728516,39.04848861694336,63.44654846191406,10.392889976501465,146.8862762451172,52.73775100708008,66.18368530273438,22.915122985839844,27.469999313354492
2016-05-01,30.577856063842773,24.149885177612305,15.532898902893066,4.570000171661377,131.94508361816406,6.219936847686768,50.67173767089844,64.62000274658203,114.18248748779297,39.334739685058594,63.8427848815918,10.453276634216309,142.7421875,54.86832809448242,62.35942077636719,23.304523468017578,25.280000686645508
2016-06-01,27.206567764282227,22.903350830078125,14.779633522033691,5.139999866485596,127.93669128417969,5.6679301261901855,49.3681526184082,61.900001525878906,118.50839233398438,35.804161071777344,63.08266830444336,9.740372657775879,133.53131103515625,52.23712158203125,63.03717041015625,22.120986938476562,24.84000015258789
2016-07-01,34.1163330078125,24.185287475585938,15.619482040405273,6.860000133514404,144.6529998779297,6.200222492218018,46.55699157714844,66.48999786376953,121.96687316894531,37.003536224365234,68.00782012939453,9.810115814208984,142.7251739501953,53.77550506591797,68.00727844238281,24.462509155273438,27.290000915527344
2016-08-01,34.88514709472656,25.06999969482422,17.430097579956055,7.400000095367432,142.9965057373047,8.970115661621094,44.274803161621094,65.83000183105469,118.12513732910156,40.46916198730469,64.81082153320312,9.870680809020996,152.29653930664062,57.18467712402344,67.65635681152344,27.485944747924805,28.670000076293945
2016-09-01,35.28837585449219,25.172435760498047,16.934328079223633,6.909999847412109,141.0791015625,9.581266403198242,56.89801788330078,63.970001220703125,121.21104431152344,40.036842346191406,63.20821762084961,9.455484390258789,145.50282287597656,56.41373062133789,63.86235809326172,27.485944747924805,31.450000762939453
2016-10-01,39.13433074951172,27.113662719726562,15.716655731201172,7.230000019073486,119.38568878173828,9.137688636779785,52.98721694946289,61.119998931884766,131.04664611816406,41.66442108154297,56.20112228393555,9.196966171264648,160.8136749267578,58.67571258544922,65.4425048828125,28.78050422668457,33.0099983215332
2016-11-01,44.76350402832031,32.43842315673828,16.963489532470703,8.90999984741211,121.84683990478516,11.651291847229004,58.98565673828125,68.2699966430664,138.52687072753906,47.801761627197266,58.09931182861328,9.486038208007812,197.8502197265625,68.41213989257812,75.04454803466797,35.67148971557617,30.90999984741211
2016-12-01,45.11809539794922,34.391876220703125,16.614084243774414,11.34000015258789,124.49200439453125,10.399418830871582,56.76755905151367,71.30000305175781,144.337646484375,50.54536819458008,58.88475799560547,9.620875358581543,216.70887756347656,73.63460540771484,79.0671157836914,36.439083099365234,32.0
2017-01-01,42.7602424621582,35.4299201965332,18.44844627380371,10.369999885559082,133.40679931640625,9.275690078735352,53.50299835205078,73.5199966430664,151.5137176513672,47.48356628417969,61.71307373046875,9.803297996520996,207.54098510742188,72.21806335449219,80.90321350097656,36.64607620239258,34.16999816894531
2017-02-01,44.79921340942383,37.43315124511719,19.72521209716797,14.460000038146973,150.3083038330078,9.679837226867676,47.22359085083008,72.19999694824219,167.09902954101562,50.86856460571289,66.99031066894531,10.098295211791992,224.5011749267578,77.75743103027344,83.18878173828125,39.568477630615234,35.43000030517578
2017-03-01,40.96681213378906,33.79090881347656,17.83074951171875,14.550000190734863,140.66261291503906,11.424574851989746,46.14603042602539,73.41000366210938,165.38502502441406,51.02272033691406,67.13847351074219,9.38101863861084,208.4463653564453,75.37202453613281,90.37273406982422,37.11656951904297,35.15999984741211
2017-04-01,41.27672576904297,34.841827392578125,17.365903854370117,13.300000190734863,140.0196075439453,11.611863136291504,43.67665481567383,70.5,172.8379669189453,50.425662994384766,60.09072494506836,9.244009017944336,203.07461547851562,74.65125274658203,90.60302734375,37.57576370239258,39.720001220703125
2017-05-01,46.884239196777344,35.69163131713867,16.322599411010742,11.1899995803833,133.0923614501953,11.178142547607422,42.197593688964844,75.58999633789062,175.45626831054688,51.77467727661133,61.49799728393555,9.082716941833496,191.6958770751953,70.8946533203125,103.2981948852539,36.3272819519043,41.77000045776367
2017-06-01,48.83898162841797,38.281978607177734,18.40034294128418,12.479999542236328,148.72593688964844,9.630553245544434,43.253440856933594,78.41999816894531,186.33531188964844,57.196720123291016,64.50296783447266,9.139891624450684,202.0284423828125,78.8773422241211,96.56134033203125,38.781585693359375,48.70000076293945
2017-07-01,48.9554443359375,41.281063079833984,19.932233810424805,13.609999656677246,150.69476318359375,10.2219877243042,44.65220260620117,81.29000091552734,228.46450805664062,58.53940963745117,64.33245849609375,9.164395332336426,205.1512451171875,79.2225341796875,100.29635620117188,40.818145751953125,51.2599983215332
2017-08-01,43.423213958740234,39.01570510864258,20.002389907836914,13.0,153.50990295410156,8.654683113098145,35.23491668701172,79.43000030517578,225.82614135742188,58.18022155761719,56.1722412109375,9.124905586242676,203.70362854003906,78.86865234375,99.70915985107422,39.81050491333008,49.369998931884766
2017-09-01,46.185768127441406,34.73653793334961,21.471593856811523,12.75,162.0911865234375,10.399418830871582,41.54888916015625,80.41000366210938,240.9649658203125,62.49637985229492,55.72259521484375,9.902549743652344,216.68670654296875,82.87760162353516,106.49420928955078,42.14664077758789,46.619998931884766
2017-10-01,45.53417205810547,34.138427734375,23.12665557861328,10.989999771118164,152.32833862304688,11.40485954284668,37.53008270263672,83.58999633789062,244.5385284423828,63.14934539794922,51.90060806274414,10.15073299407959,221.51939392089844,87.3030776977539,115.39933776855469,43.7478141784668,43.900001525878906
2017-11-01,49.10338592529297,33.41149139404297,23.882007598876953,10.890000343322754,152.71083068847656,10.419134140014648,38.17380905151367,80.7300033569336,262.3779602050781,64.8676986694336,49.62838363647461,10.486164093017578,226.2333984375,91.22607421875,122.66248321533203,45.378238677978516,45.31999969482422
2017-12-01,50.711875915527344,31.28653335571289,25.927003860473633,10.279999732971191,152.21421813964844,9.90655517578125,38.52971267700195,80.41000366210938,281.047119140625,64.20610046386719,51.37237548828125,10.461038589477539,233.4692840576172,93.33827209472656,131.43882751464844,46.13439178466797,44.689998626708984
2018-01-01,52.94386672973633,32.875343322753906,26.469377517700195,13.739999771118164,162.84909057617188,9.916413307189941,40.948081970214844,81.33999633789062,337.71209716796875,67.71797180175781,60.643856048583984,9.187956809997559,245.5020751953125,100.95790100097656,142.6817626953125,49.721744537353516,47.31999969482422
2018-02-01,52.87563705444336,31.9423828125,24.91175079345703,12.109999656677246,160.85340881347656,9.90655517578125,31.332822799682617,81.58000183105469,345.18353271484375,65.13799285888672,58.46441650390625,9.105276107788086,240.95651245117188,101.33468627929688,136.7455596923828,49.47101974487305,45.47999954223633
2018-03-01,50.74103927612305,33.43880844116211,24.242074966430664,10.050000190734863,150.34872436523438,9.985414505004883,35.30561065673828,77.0199966430664,314.00970458984375,58.47996139526367,52.948272705078125,9.508622169494629,231.45953369140625,96.48290252685547,131.9877166748047,47.651851654052734,41.369998931884766
